Date,Open,High,Low,Close,Adj Close,Volume
2020-01-22,3038.487061,3069.252930,3006.268066,3060.754883,3060.754883,223900
2020-01-23,3037.951904,3045.041016,2955.345947,2976.528076,2976.528076,272800
2020-02-03,2716.697998,2766.576904,2716.697998,2746.605957,2746.605957,215900
2020-02-04,2685.269043,2786.164063,2685.269043,2783.288086,2783.288086,364000
2020-02-05,2792.371094,2842.742920,2778.864014,2818.087891,2818.087891,309800
2020-02-06,2826.889893,2876.590088,2807.610107,2866.510010,2866.510010,316400
2020-02-07,2858.929932,2875.959961,2838.770020,2875.959961,2875.959961,309500
2020-02-10,2860.499023,2891.847900,2851.050049,2890.488037,2890.488037,294900
2020-02-11,2894.540039,2913.820068,2882.239990,2901.669922,2901.669922,269200
2020-02-12,2895.555908,2926.898926,2892.424072,2926.898926,2926.898926,248700
2020-02-13,2927.144043,2935.406006,2901.242920,2906.073975,2906.073975,274800
2020-02-14,2899.865967,2926.943115,2899.573975,2917.008057,2917.008057,250700
2020-02-17,2924.990967,2983.636963,2924.990967,2983.622070,2983.622070,313200
2020-02-18,2981.409912,2990.600098,2960.774902,2984.971924,2984.971924,311700
2020-02-19,2979.521973,2998.271973,2971.822021,2975.402100,2975.402100,315100
2020-02-20,2981.879883,3031.371094,2968.445068,3030.154053,3030.154053,345700
2020-02-21,3022.246094,3058.897949,3020.141113,3039.668945,3039.668945,364600
2020-02-24,3027.893066,3042.181885,3007.355957,3031.232910,3031.232910,370400
2020-02-25,2982.070068,3016.946045,2943.717041,3013.050049,3013.050049,441600
2020-02-26,2987.928955,2987.928955,2987.928955,2987.928955,2987.928955,0
2020-02-27,2992.489990,3009.459961,2980.479980,2991.330078,2991.330078,350500
2020-02-28,2924.641113,2948.125977,2878.543945,2880.303955,2880.303955,401200
2020-03-02,2899.310059,2982.507080,2899.310059,2970.930908,2970.930908,367300
2020-03-03,3006.888916,3026.842041,2976.623047,2992.896973,2992.896973,410100
2020-03-04,2981.805908,3012.003906,2974.357910,3011.666016,3011.666016,353300
2020-03-05,3036.155029,3074.257080,3022.926025,3071.677002,3071.677002,445400
2020-03-06,3039.939941,3052.444092,3029.462891,3034.510986,3034.510986,362100
2020-03-09,2987.180908,2989.205078,2940.714111,2943.291016,2943.291016,414600
2020-03-10,2918.935059,3000.295898,2904.799072,2996.761963,2996.761963,393300
2020-03-11,3001.761963,3010.029053,2968.517090,2968.517090,2968.517090,352500
2020-03-12,2936.016113,2944.465088,2906.283936,2923.486084,2923.486084,307800
2020-03-13,2804.231934,2910.881104,2799.983887,2887.427002,2887.427002,366500
2020-03-16,2897.301025,2898.034912,2784.662109,2789.253906,2789.253906,351900
